,Unnamed: 0,date,open,high,low,close,trading_volume,trading_value,code
277597,169,2018-09-07,74500,76200,74100,75900,8388278,631127033500,000660
277598,170,2018-09-10,75900,77100,75500,76500,4167711,318047153360,000660
277599,171,2018-09-11,76400,77800,76300,76600,3197796,245897680400,000660
277600,172,2018-09-12,76200,76200,74700,75100,4330147,325308949610,000660
277601,173,2018-09-13,74300,75200,73900,74500,5257563,391077754750,000660
277602,174,2018-09-14,76100,77800,76000,77700,4124842,318001235100,000660
277603,175,2018-09-17,78000,78200,76700,77200,2252063,174078548940,000660
277604,176,2018-09-18,76600,78300,76100,78000,2450163,190007630570,000660
277605,177,2018-09-19,79400,79700,78400,78800,2912259,229771515850,000660
277606,178,2018-09-20,78600,79900,78000,79100,3392490,268695007700,000660
277607,179,2018-09-21,77100,77500,76300,76700,5678068,435679405900,000660
277608,180,2018-09-27,75900,75900,74700,75000,5841083,439298015100,000660
277609,181,2018-09-28,75300,75900,73100,73100,5824873,432567189660,000660
277610,182,2018-10-01,74300,74600,73200,73700,2970456,219263720800,000660
277611,183,2018-10-02,73600,74000,71600,71700,4089558,296476306100,000660
277612,184,2018-10-04,71700,72200,69800,70000,5778810,407564848400,000660
277613,185,2018-10-05,69700,71100,69400,70300,5508014,387223507820,000660
277614,186,2018-10-08,69500,71800,69400,71200,2856291,203125709520,000660
277615,187,2018-10-10,70300,71100,69800,70300,4161114,292827905170,000660
277616,188,2018-10-11,67600,70200,67500,69000,4936490,341178322680,000660
277617,189,2018-10-12,69200,73200,69200,72400,4882184,350547755500,000660
277618,190,2018-10-15,71600,71700,69900,70300,3727297,263149625160,000660
277619,191,2018-10-16,70300,71000,69600,69700,2211661,155030338800,000660
277620,192,2018-10-17,71400,71700,70300,70400,2653053,187955766800,000660
277621,193,2018-10-18,69600,69900,68700,68700,2849229,196998334500,000660
277622,194,2018-10-19,68100,70900,67800,70800,2688930,187609602300,000660
277623,195,2018-10-22,69600,70900,69600,70000,2377240,166750967550,000660
277624,196,2018-10-23,69600,70000,68600,69100,3175869,219820230300,000660
277625,197,2018-10-24,69400,69600,65800,66700,5703361,382389118800,000660
277626,198,2018-10-25,64700,66000,63200,64700,5859332,377922887450,000660
277627,199,2018-10-26,65100,67100,62900,67000,6211406,404482375900,000660
277628,200,2018-10-29,66600,67800,64800,66800,4252977,282240749100,000660
277629,201,2018-10-30,66000,70900,65900,68200,6101533,422638767500,000660
277630,202,2018-10-31,69300,70400,67600,68200,5038931,347142985000,000660
277631,203,2018-11-01,68900,69600,67800,68300,3218076,220677687560,000660
277632,204,2018-11-02,70600,72800,69100,72600,5334082,379044040000,000660
277633,205,2018-11-05,72000,72100,70100,70500,3389386,239522513500,000660
277634,206,2018-11-06,70500,70600,69100,70100,2624868,182737193700,000660
277635,207,2018-11-07,70400,72300,70100,70800,3770119,268229921900,000660
277636,208,2018-11-08,72900,73300,72600,72900,3930969,286589728800,000660
277637,209,2018-11-09,72400,73600,71900,72900,3414946,248274510800,000660
277638,210,2018-11-12,72200,74500,71800,74500,3328433,244857875400,000660
277639,211,2018-11-13,72300,72500,69900,71900,4730929,335859747910,000660
277640,212,2018-11-14,71400,72100,70200,70400,2783377,196825283300,000660
277641,213,2018-11-15,70800,71800,70400,71800,1564647,111117577600,000660
277642,214,2018-11-16,72600,72900,70000,70100,2894513,206073440300,000660
277643,215,2018-11-19,69600,70500,68900,69800,2303677,160209436900,000660
277644,216,2018-11-20,67000,68200,67000,67500,3325563,224462036950,000660
277645,217,2018-11-21,66900,68300,66100,68100,3100596,209051981400,000660
277646,218,2018-11-22,68100,69700,68000,69300,1966126,135868541400,000660
277647,219,2018-11-23,69500,69700,68400,69300,1499166,103455071100,000660
277648,220,2018-11-26,69200,71300,69000,70900,2361766,166558264300,000660
277649,221,2018-11-27,71100,71200,69700,70800,2293763,161437355900,000660
277650,222,2018-11-28,71000,72000,70700,71900,2441991,174586802590,000660
277651,223,2018-11-29,73700,73700,71200,71500,3270078,236884886300,000660
277652,224,2018-11-30,71500,71600,68800,69600,4167055,290568707700,000660
277653,225,2018-12-03,71000,71100,69800,70500,2760290,194484746890,000660
277654,226,2018-12-04,69900,70400,68400,69000,3222060,222470121500,000660
277655,227,2018-12-05,67200,68800,67200,68200,3008950,204662787300,000660
277656,228,2018-12-06,67800,68200,65700,66000,3902275,259458349330,000660
277657,229,2018-12-07,66700,67400,66600,66800,2590733,173420398200,000660
277658,230,2018-12-10,65900,65900,64700,65500,2206084,143790359100,000660
277659,231,2018-12-11,66000,66600,64800,64900,2457332,160514206660,000660
277660,232,2018-12-12,65000,66200,64900,66200,2901875,190428548720,000660
277661,233,2018-12-13,66300,66400,64800,65500,4062323,266371212900,000660
277662,234,2018-12-14,65200,65300,61200,61800,5617675,350130863800,000660
277663,235,2018-12-17,61600,62500,61000,62200,2506287,155363002300,000660
277664,236,2018-12-18,61000,61900,60800,61100,3098206,189538152100,000660
277665,237,2018-12-19,60800,61000,59700,60300,3561783,214394949380,000660
277666,238,2018-12-20,59300,59400,58100,58600,4889709,286886618420,000660
277667,239,2018-12-21,58200,60500,58200,60000,3946994,236398099100,000660
277668,240,2018-12-24,59600,60700,59200,60400,2101703,126479855300,000660
277669,241,2018-12-26,59400,60800,59300,60100,2455060,147785954700,000660
277670,242,2018-12-27,61600,61900,60600,61600,3047798,187156851900,000660
